Title,CreatedAt,ClosedAt,TimeLapsed,NumberOfPrompts
adding French to strings (fixes #2216),2023-07-20T14:16:56Z,2023-07-24T10:20:08Z,"3 days, 20:03:12",1
adding French to strings (fixes #2216),2023-07-20T14:16:56Z,2023-07-24T10:20:08Z,"3 days, 20:03:12",9
adding French to strings (fixes #2216),2023-07-20T14:16:56Z,2023-07-24T10:20:08Z,"3 days, 20:03:12",2
adding French to strings (fixes #2216),2023-07-20T14:16:56Z,2023-07-24T10:20:08Z,"3 days, 20:03:12",7
adding Arabic to strings (fixes #2219),2023-07-20T15:56:34Z,2023-07-24T11:44:31Z,"3 days, 19:47:57",1
adding Arabic to strings (fixes #2219),2023-07-20T15:56:34Z,2023-07-24T11:44:31Z,"3 days, 19:47:57",10
adding Arabic to strings (fixes #2219),2023-07-20T15:56:34Z,2023-07-24T11:44:31Z,"3 days, 19:47:57",7
Adding  French translation (fixes #2216),2023-07-17T14:13:50Z,2023-07-20T15:31:46Z,"3 days, 1:17:56",1
Adding  French translation (fixes #2216),2023-07-17T14:13:50Z,2023-07-20T15:31:46Z,"3 days, 1:17:56",9
Adding  French translation (fixes #2216),2023-07-17T14:13:50Z,2023-07-20T15:31:46Z,"3 days, 1:17:56",2
adding Somali to strings (fixes #2218) ,2023-07-20T15:42:24Z,2023-07-24T11:03:58Z,"3 days, 19:21:34",8
adding Somali to strings (fixes #2218) ,2023-07-20T15:42:24Z,2023-07-24T11:03:58Z,"3 days, 19:21:34",25
adding Nepali to strings (fixes #2217),2023-07-20T14:39:08Z,2023-07-24T11:15:05Z,"3 days, 20:35:57",7
adding Nepali to strings (fixes #2217),2023-07-20T14:39:08Z,2023-07-24T11:15:05Z,"3 days, 20:35:57",23
Adding arabic translation (fixes #2219),2023-07-17T14:11:34Z,2023-07-20T15:57:14Z,"3 days, 1:45:40",1
Adding arabic translation (fixes #2219),2023-07-17T14:11:34Z,2023-07-20T15:57:14Z,"3 days, 1:45:40",10
adding more Spanish to strings (fixes #2233),2023-07-20T16:03:45Z,2023-07-24T10:37:09Z,"3 days, 18:33:24",7
"initial interface, incorrect credentials if we want to add to queue",2023-07-16T12:34:40Z,2023-07-16T12:34:50Z,0:00:10,2
Adding Nepali Translation (fixes #2217),2023-07-17T14:14:49Z,2023-07-20T14:59:17Z,"3 days, 0:44:28",23
Adding somali translation (fixes #2218),2023-07-17T14:12:37Z,2023-07-20T15:56:56Z,"3 days, 1:44:19",25
git und github tutorial ,2023-07-21T21:24:04Z,2023-07-22T14:08:36Z,16:44:32,3
Add code from ChatGPT,2023-07-11T02:57:45Z,2023-07-12T02:24:55Z,23:27:10,20
added some mathy stuff to keep image size consistent among devices,2023-07-18T07:18:46Z,2023-07-18T07:25:22Z,0:06:36,5
Use simpler language in explainer (improved by AI),2023-07-21T00:12:06Z,2023-07-21T10:49:15Z,10:37:09,2
dev: refactor playground to sort components alphabetically.,2023-06-28T16:24:43Z,2023-06-28T16:24:58Z,0:00:15,1
Fix: recursive/glob support,2023-07-24T18:09:25Z,2023-07-24T19:52:21Z,1:42:56,1
Paginator,2023-07-18T16:31:02Z,2023-07-18T16:31:18Z,0:00:16,3
feat: use adaptive icons for android app,2023-06-26T19:34:38Z,2023-06-26T19:55:49Z,0:21:11,4
Allow usage of more models,2023-07-07T20:45:04Z,2023-07-12T13:24:51Z,"4 days, 16:39:47",N/A
Allow usage of more models,2023-07-07T20:45:04Z,2023-07-12T13:24:51Z,"4 days, 16:39:47",N/A
Feature/#23-notionデータベースをecmakerに合わせる,2023-07-16T04:07:47Z,2023-07-16T05:04:47Z,0:57:00,3
[ feature ] 自訂 Avatar 元件，顯示名字首字和亂數背景色,2023-06-19T16:38:16Z,2023-06-20T01:41:54Z,9:03:38,7
Fix libp2p error in tests,2023-06-06T20:11:03Z,2023-06-09T19:32:21Z,"2 days, 23:21:18",4
[jira-permissions-validator] introduce integration,2023-07-03T11:59:06Z,2023-07-03T12:09:33Z,0:10:27,5
Add subtitle instead of lorem ipsum to main page,2023-06-14T15:49:15Z,2023-06-14T18:50:50Z,3:01:35,2
Chatgpt,2023-06-12T00:45:42Z,2023-06-12T00:46:03Z,0:00:21,7
Remove .coffee and use .js in the partial that uses it,2023-07-04T07:36:25Z,2023-07-04T07:47:10Z,0:10:45,1
empt-tasks,2023-07-15T11:29:09Z,2023-07-16T13:49:45Z,"1 day, 2:20:36",1
generate readme with gpt-3,2023-06-06T08:15:34Z,2023-06-06T08:16:04Z,0:00:30,2
chore: add release authoring documentation,2023-06-02T14:54:19Z,2023-06-16T20:28:16Z,"14 days, 5:33:57",1
Changed: Paragraph and Sentence Tokenizer Documentation,2023-05-16T21:33:38Z,2023-07-06T20:46:27Z,"50 days, 23:12:49",2
Changed: Paragraph and Sentence Tokenizer Documentation,2023-05-16T21:33:38Z,2023-07-06T20:46:27Z,"50 days, 23:12:49",1
Features/university,2023-06-30T07:27:54Z,2023-07-03T08:59:08Z,"3 days, 1:31:14",3
Features/university,2023-06-30T07:27:54Z,2023-07-03T08:59:08Z,"3 days, 1:31:14",1
"bugfix: When downloading a file, <td> is also clicked causing a loading message be endless .",2023-06-07T12:18:16Z,2023-06-09T11:40:12Z,"1 day, 23:21:56",N/A
FlatAHB Dump: Don't use new GUID for otherwise unchanged lines,2023-07-23T09:56:12Z,2023-07-24T10:02:26Z,"1 day, 0:06:14",1
Add a machine distinct id to analytics,2023-07-21T12:31:47Z,2023-07-24T18:00:27Z,"3 days, 5:28:40",2
Improve docs to include examples,2023-06-02T09:31:37Z,2023-06-08T14:10:39Z,"6 days, 4:39:02",9
[TAS-10]Connection between the server and the client,2023-06-19T03:21:01Z,2023-06-19T04:12:14Z,0:51:13,2
"basic sim search implemented, gene and disease queries only",2023-06-23T16:25:01Z,2023-06-23T16:25:19Z,0:00:18,1
Add a schema for Prometheus rules test files,2023-06-14T00:11:00Z,2023-06-14T16:36:43Z,16:25:43,8
nip19: use template literal types,2023-07-02T02:41:22Z,2023-07-02T17:22:05Z,14:40:43,1
[4기 고예성] Mission 1 PR 제출합니다.,2023-07-25T17:55:26Z,2023-07-26T05:18:46Z,11:23:20,2
"IO1-3631: renamed to gasLimit, fixed bug with incorrect gas",2023-06-22T15:23:24Z,2023-06-27T14:55:46Z,"4 days, 23:32:22",1
[BACK-69] Improving Categories and making them more specific,2023-06-16T07:12:36Z,2023-06-19T06:27:55Z,"2 days, 23:15:19",1
Extract columns configuration into yml,2023-06-07T11:59:35Z,2023-06-07T15:20:28Z,3:20:53,2
docs: Organize routes with tags,2023-06-27T23:46:08Z,2023-06-28T03:16:59Z,3:30:51,2
Go micro,2023-06-13T13:05:07Z,2023-06-21T10:49:19Z,"7 days, 21:44:12",1
Go micro,2023-06-13T13:05:07Z,2023-06-21T10:49:19Z,"7 days, 21:44:12",2
Make all Go source file names snake case,2023-06-28T19:28:21Z,2023-07-03T18:23:56Z,"4 days, 22:55:35",22
Sorted resumes by Job,2023-06-14T10:26:19Z,2023-06-14T17:00:13Z,6:33:54,1
Update docker.sh to add a check for existing image before building,2023-06-24T04:00:07Z,2023-06-24T09:22:38Z,5:22:31,2
Feature/fix reload,2023-06-09T17:03:23Z,2023-06-09T17:06:57Z,0:03:34,3
Add test and doc for drm_framebuffer_check_src_coords(),2023-07-13T02:39:45Z,2023-07-19T02:47:07Z,"6 days, 0:07:22",N/A
Flask API 기능 추가,2023-07-10T07:28:25Z,2023-07-10T12:10:08Z,4:41:43,N/A
Get backfilledResults to show non-empty.,2023-07-04T21:34:57Z,2023-07-04T22:01:19Z,0:26:22,5
🎉 Workflows,2023-06-29T04:15:46Z,2023-07-03T22:56:43Z,"4 days, 18:40:57",4
BLD: ビルド時に使用するcythonバージョンを制限する,2023-07-18T10:09:33Z,2023-07-18T10:56:24Z,0:46:51,1
readme: reorder cols in whats new and add links,2023-07-19T20:06:21Z,2023-07-25T11:15:41Z,"5 days, 15:09:20",1
readme: reorder cols in whats new and add links,2023-07-19T20:06:21Z,2023-07-25T11:15:41Z,"5 days, 15:09:20",1
Feat/link card,2023-06-23T12:14:03Z,2023-06-25T07:54:41Z,"1 day, 19:40:38",1
Added shareChat,2023-07-15T12:43:14Z,2023-07-16T16:37:24Z,"1 day, 3:54:10",N/A
Migrate to use StreamElements IDs in `.env` instead of twitch loginnames,2023-05-04T13:18:45Z,2023-07-08T19:55:38Z,"65 days, 6:36:53",3
add the cspell in husky,2023-07-08T19:11:22Z,2023-07-09T13:35:08Z,18:23:46,2
add the cspell in husky,2023-07-08T19:11:22Z,2023-07-09T13:35:08Z,18:23:46,2
🌟Training - Event booking component ,2023-07-04T08:11:24Z,2023-07-05T04:03:23Z,19:51:59,1
DAYD-826 add & create 予定やTODOの削除時に確認モーダルを表示するよう修正&カスタムHooks用のフォルダを作成し…,2023-06-17T13:13:44Z,2023-06-24T00:26:03Z,"6 days, 11:12:19",N/A
Feat/matches ids ulid,2023-07-13T15:37:41Z,2023-07-20T17:08:25Z,"7 days, 1:30:44",2
Support deep frontmatter property setting using pydash,2023-06-08T13:41:47Z,2023-06-09T02:23:06Z,12:41:19,4
feat: feedback flow after first payment,2023-06-16T19:28:51Z,2023-07-19T12:45:27Z,"32 days, 17:16:36",3
feat: feedback flow after first payment,2023-06-16T19:28:51Z,2023-07-19T12:45:27Z,"32 days, 17:16:36",3
Wrap ActiveRecord::Base with ActiveSupport.on_load,2023-05-30T12:48:25Z,2023-06-05T05:34:35Z,"5 days, 16:46:10",1
Add:環境構築,2023-06-11T01:27:42Z,2023-06-11T08:01:28Z,6:33:46,1
Integrate the new user.js into game.js and dedupe logic.,2023-07-04T22:30:52Z,2023-07-04T22:55:51Z,0:24:59,3
quizy用の各テーブルのmigrationファイルとmodel作成,2023-06-09T07:10:45Z,2023-06-13T17:17:48Z,"4 days, 10:07:03",1
quizy用の各テーブルのmigrationファイルとmodel作成,2023-06-09T07:10:45Z,2023-06-13T17:17:48Z,"4 days, 10:07:03",N/A
テキスト欄内でルビを設定できるようにする #1383,2023-07-11T01:36:41Z,2023-07-12T14:58:02Z,"1 day, 13:21:21",1
Feature/header sidebar improvements,2023-05-23T04:27:21Z,2023-06-02T02:19:09Z,"9 days, 21:51:48",6
Improve the clarity and correctness of the documentation related to C…,2023-05-31T22:05:03Z,2023-06-02T15:17:44Z,"1 day, 17:12:41",3
Metal implementation for all k_quants,2023-06-11T20:41:33Z,2023-06-12T19:39:21Z,22:57:48,1
metal : faster q40,2023-06-09T07:32:43Z,2023-06-09T07:39:59Z,0:07:16,2
metal : faster q40,2023-06-09T07:32:43Z,2023-06-09T07:39:59Z,0:07:16,3
Adding permission waits,2023-06-08T13:40:30Z,2023-06-15T15:42:34Z,"7 days, 2:02:04",1
CMake: Fix LLVM detection,2023-06-09T09:32:17Z,2023-06-09T21:47:19Z,12:15:02,1
recruiting api 및 문제별 채점 상태 로직 추가,2023-07-22T20:07:40Z,2023-07-25T16:13:41Z,"2 days, 20:06:01",1
"Github connector (initial full sync, issues only)",2023-05-26T09:30:02Z,2023-06-06T09:48:37Z,"11 days, 0:18:35",1
Create pick.js,2023-07-05T17:51:37Z,2023-07-05T17:55:20Z,0:03:43,3
Feature/1,2023-06-11T07:39:34Z,2023-06-28T15:05:37Z,"17 days, 7:26:03",5
Feature/1,2023-06-11T07:39:34Z,2023-06-28T15:05:37Z,"17 days, 7:26:03",21
Move switchUser over to user.js and test it.,2023-07-04T22:17:32Z,2023-07-04T22:27:12Z,0:09:40,3
[PR] Using cid with entry upload metadata,2023-06-12T11:59:57Z,2023-06-13T11:12:03Z,23:12:06,1
Update index.html,2023-07-03T16:29:16Z,2023-07-03T16:30:30Z,0:01:14,2
Unit Test Setup: jest,2023-07-03T06:44:40Z,2023-07-03T06:47:04Z,0:02:24,2
Unit Test Setup: jest,2023-07-03T06:44:40Z,2023-07-03T06:47:04Z,0:02:24,2
Create game.js,2023-07-01T18:33:31Z,2023-07-01T18:38:11Z,0:04:40,2
Interaction and api updates,2023-07-10T23:18:09Z,2023-07-24T23:31:51Z,"14 days, 0:13:42",4
Add llm_verify function,2023-06-13T23:40:26Z,2023-06-16T19:29:46Z,"2 days, 19:49:20",1
Feature/15,2023-06-07T02:42:10Z,2023-06-08T06:31:42Z,"1 day, 3:49:32",1
Run E2E tests in containers,2023-06-15T13:41:57Z,2023-07-21T11:50:45Z,"35 days, 22:08:48",2
init.py file added and file structed is edited,2023-07-15T07:09:15Z,2023-07-15T08:46:00Z,1:36:45,3
Fix #74: Correct for Lens Distortion for ray angle calculation,2023-07-25T23:40:12Z,2023-07-26T20:45:49Z,21:05:37,7
feat(flagged spaces): conceal flagged spaces similar to flagged proposals,2023-05-27T20:58:03Z,2023-05-29T09:37:56Z,"1 day, 12:39:53",1
Create index.html,2023-07-01T18:29:36Z,2023-07-01T18:30:06Z,0:00:30,2
"WEBDEV-6167 Make tiles show creator matching letter filter, if one is applied",2023-06-21T00:56:12Z,2023-06-23T03:28:21Z,"2 days, 2:32:09",2
refactor: ownership redesign,2023-06-17T18:41:44Z,2023-06-28T18:50:01Z,"11 days, 0:08:17",1
Update deleted_at on destroy,2023-06-26T05:30:36Z,2023-07-01T20:27:42Z,"5 days, 14:57:06",4
feat : Upgrade keycloak 21.x ,2023-06-05T20:55:35Z,2023-06-08T21:53:56Z,"3 days, 0:58:21",2
